Name,Name,Average,City,Type,,
Grimsby SS,Grimsby,27.5,GRIMSBY,Public,y,
St Louis Adult Learning Centre,St Louis Adult Learning Centre,27.1,KITCHENER,Public,x,
Southern Ontario College,Southern Ontario College,25.7,HAMILTON,Private,x,
St Thomas Aquinas SS,St Thomas Aquinas,25.4,OAKVILLE,Separate,m,
Great Lakes College of Toronto,Great Lakes College of Toronto,25.2,TORONTO,Private,x,
Vaughan SS,Vaughan,23.9,THORNHILL,Public,y,
King's Christian Collegiate,King's Christian Collegiate,23.6,OAKVILLE,Private,x,
St Michael HS,St Michael,23.5,NIAGARA FALLS,Separate,x,m
St Peter's SS,St Peter's,23.5,PETERBOROUGH,Separate,m,
Bishop Macdonell Catholic HS,Bishop Macdonell,22.6,GUELPH,Separate,y,
Sir Winston Churchill SS,Sir Winston Churchill,22.5,ST CATHARINES,Public,m,
George S Henry Academy,George S Henry,22.4,NORTH YORK,Public,y,
Eastwood CI,Eastwood,21.9,KITCHENER,Public,y,
Galt C & VI,Galt,21.7,CAMBRIDGE,Public,y,
Notre Dame SS,Notre Dame,21.7,BRAMPTON,Separate,m,
Jarvis CI,Jarvis,21.7,TORONTO,Public,y,
North Albion CI,North Albion,21.5,ETOBICOKE,Public,y,
Ancaster HS,Ancaster,21.2,ANCASTER,Public,y,
Bishop Tonnos Catholic SS,Bishop Tonnos,21.1,ANCASTER,Separate,y,
St David Catholic SS,St David,21.1,WATERLOO,Separate,y,
Robert Bateman HS,Robert Bateman,20.7,BURLINGTON,Public,y,
Sir Wilfrid Laurier CI,Sir Wilfrid Laurier,20.5,SCARBOROUGH,Public,y,
Silverthorn CI,Silverthorn,20,ETOBICOKE,Public,y,
Lester B Pearson CI,Lester B Pearson,20,SCARBOROUGH,Public,m,
Woodland Christian HS,Woodland Christian,19.8,BRESLAU,Private,x,
Governor Simcoe SS,Governor Simcoe,19.8,ST CATHARINES,Public,y,
North Park SS,North Park,19.6,BRAMPTON,Public,m,
Turner Fenton SS,Turner Fenton,19,BRAMPTON,Public,y,
Any other Ontario school,Any other Ontario school,16.3,Ontario,NA,,
St Robert Catholic HS,St Robert,14.2,THORNHILL,Separate,y,
Waterloo CI,Waterloo,14,WATERLOO,Public,y,
Orchard Park SS,Orchard Park,13.8,STONEY CREEK,Public,y,
Markham District HS,Markham,13.7,MARKHAM,Public,y,
William Lyon Mackenzie CI,William Lyon Mackenzie,13.6,NORTH YORK,Public,y,
Northern SS,Northern,13.4,TORONTO,Public,m,
Forest Heights CI,Forest Heights,13.3,KITCHENER,Public,y,
Unionville HS,Unionville,13.3,UNIONVILLE,Public,y,
St Theresa Lisieux Catholic HS,St Theresa of Lisieux,13.1,RICHMOND HILL,Separate,y,
Markville SS,Markville,13,MARKHAM,Public,y,
York Mills CI,York Mills,13,DON MILLS,Public,x,
Newmarket HS,Newmarket,12.9,NEWMARKET,Public,y,
Thornhill SS,Thornhill,12.9,THORNHILL,Public,y,
Hamilton District Christian HS,Hamilton District Christian,12.8,ANCASTER,Private,x,
Marc Garneau CI,Marc Garneau,12.8,DON MILLS,Public,y,
Sinclair SS,Sinclair,12.8,WHITBY,Public,y,
St Aloysius Gonzaga SS,St Aloysius Gonzaga,12.7,MISSISSAUGA,Separate,y,
Pickering HS,Pickering,12.5,AJAX,Public,y,
A Y Jackson SS,A Y Jackson,12.5,NORTH YORK,Public,y,
Lisgar CI,Lisgar,12.4,OTTAWA,Public,y,
Martingrove CI,Martingrove,12.4,ETOBICOKE,Public,y,
Richmond Hill HS,Richmond Hill,12.3,RICHMOND HILL,Public,y,
Centennial C and VI,Centennial,12.3,GUELPH,Public,m,
Streetsville SS,Streetsville,12,STREETSVILLE,Public,y,
Stephen Lewis SS,Stephen Lewis,12,MISSISSAUGA,Public,m,
Milton District HS,Milton,11.8,MILTON,Public,y,
Colonel By SS,Colonel By,11.7,GLOUCESTER,Public,y,
London Central SS,London Central,11.5,LONDON,Public,y,
Milliken Mills HS,Milliken Mills,11.4,UNIONVILLE,Public,y,
Vincent Massey SS,Vincent Massey,11.3,WINDSOR,Public,y,
Elmira District SS,Elmira,11.2,ELMIRA,Public,y,
York Memorial CI,York Memorial,11.1,TORONTO,Public,y,
Agincourt CI,Agincourt,11.1,AGINCOURT,Public,y,
Sir John A Macdonald CI,Sir John A Macdonald,10.9,AGINCOURT,Public,m,
Pierre Elliott Trudeau HS,Pierre Elliott Trudeau,10.9,MARKHAM,Public,y,
Nepean HS,Nepean,10.7,OTTAWA,Public,y,
Guelph C and VI,Guelph,10.6,GUELPH,Public,y,
All Saints Catholic HS,All Saints,10.5,KANATA,Separate,m,
Earl of March SS,Earl of March,10.5,KANATA,Public,y,
Dr Norman Bethune CI,Dr Norman Bethune,10.4,AGINCOURT,Public,y,
Bell HS,Bell,10.4,NEPEAN,Public,y,
Lawrence Park CI,Lawrence Park,10.4,TORONTO,Public,y,
Don Mills CI,Don Mills,10.3,DON MILLS,Public,y,
Northview Heights SS,Northview Heights,10.1,NORTH YORK,Public,y,