2017-18 Rank,Rank in the most recent five years,Trend,School Name,City,2017-18 Rating,2017-18 Rating by Percent,Rating in the most recent five years,Waterloo Adjustment,,
555/738,n/a,NO CHANGE,Fenelon Falls,Fenelon Falls,5,50.00%,n/a,16.3,64.37%,57.18%
569/738,416/625,DOWNTREND,St Mary's,Owen Sound,4.9,49.00%,5.5,16.3,64.37%,56.68%
569/738,426/625,NO CHANGE,St Joan of Arc,Barrie,4.9,49.00%,5.4,16.3,64.37%,56.68%
569/738,467/625,NO CHANGE,F E Madill,Wingham,4.9,49.00%,5.1,16.3,64.37%,56.68%
569/738,478/625,NO CHANGE,McKinnon Park,Caledonia,4.9,49.00%,5,16.3,64.37%,56.68%
569/738,526/625,UPTREND,H B Beal,London,4.9,49.00%,4.5,16.3,64.37%,56.68%
569/738,526/625,NO CHANGE,John McGregor,Chatham,4.9,49.00%,4.5,16.3,64.37%,56.68%
569/738,578/625,UPTREND,St Catharines,St Catharines,4.9,49.00%,3.8,16.3,64.37%,56.68%
569/738,n/a,NO CHANGE,Bramalea,Brampton,4.9,49.00%,n/a,16.3,64.37%,56.68%
569/738,n/a,NO CHANGE,Brookfield,Ottawa,4.9,49.00%,n/a,16.3,64.37%,56.68%
569/738,n/a,NO CHANGE,Eastdale,Oshawa,4.9,49.00%,n/a,16.3,64.37%,56.68%
569/738,n/a,NO CHANGE,Manitoulin,M'Chigeeng,4.9,49.00%,n/a,16.3,64.37%,56.68%
580/738,356/625,DOWNTREND,St Thomas Aquinas,Tottenham,4.8,48.00%,6,16.3,64.37%,56.18%
580/738,400/625,DOWNTREND,Parkside,St Thomas,4.8,48.00%,5.7,16.3,64.37%,56.18%
580/738,440/625,DOWNTREND,W F Herman,Windsor,4.8,48.00%,5.3,16.3,64.37%,56.18%
580/738,478/625,NO CHANGE,Al-Risala,Mississauga,4.8,48.00%,5,16.3,64.37%,56.18%
580/738,496/625,NO CHANGE,Western,Toronto,4.8,48.00%,4.8,16.3,64.37%,56.18%
580/738,507/625,NO CHANGE,Centre Hastings,Madoc,4.8,48.00%,4.7,16.3,64.37%,56.18%
580/738,551/625,NO CHANGE,Birchmount Park,Toronto,4.8,48.00%,4.2,16.3,64.37%,56.18%
580/738,n/a,NO CHANGE,Heart Lake,Brampton,4.8,48.00%,n/a,16.3,64.37%,56.18%
580/738,n/a,NO CHANGE,Lively,Lively,4.8,48.00%,n/a,16.3,64.37%,56.18%
590/738,334/625,NO CHANGE,Sainte-Marie,New Liskeard,4.7,47.00%,6.1,16.3,64.37%,55.68%
590/738,356/625,NO CHANGE,Rideau,Elgin,4.7,47.00%,6,16.3,64.37%,55.68%
590/738,426/625,DOWNTREND,Notre Dame,Ottawa,4.7,47.00%,5.4,16.3,64.37%,55.68%
590/738,440/625,DOWNTREND,Gloucester,Gloucester,4.7,47.00%,5.3,16.3,64.37%,55.68%
590/738,496/625,NO CHANGE,Central Algoma,Desbarats,4.7,47.00%,4.8,16.3,64.37%,55.68%
590/738,496/625,NO CHANGE,Thistletown,Toronto,4.7,47.00%,4.8,16.3,64.37%,55.68%
590/738,n/a,NO CHANGE,Franco-Ouest,Espanola,4.7,47.00%,n/a,16.3,64.37%,55.68%
590/738,n/a,NO CHANGE,Lasalle,Sudbury,4.7,47.00%,n/a,16.3,64.37%,55.68%
598/738,426/625,NO CHANGE,Westgate,Thunder Bay,4.6,46.00%,5.4,16.3,64.37%,55.18%
598/738,440/625,NO CHANGE,Wellington Heights,Mount Forest,4.6,46.00%,5.3,16.3,64.37%,55.18%
598/738,467/625,NO CHANGE,Parry Sound,Parry Sound,4.6,46.00%,5.1,16.3,64.37%,55.18%
598/738,507/625,NO CHANGE,Granite Ridge,Sharbot Lake,4.6,46.00%,4.7,16.3,64.37%,55.18%
598/738,507/625,NO CHANGE,Sherwood,Hamilton,4.6,46.00%,4.7,16.3,64.37%,55.18%
598/738,593/625,UPTREND,South Grenville,Prescott,4.6,46.00%,3.5,16.3,64.37%,55.18%
598/738,599/625,NO CHANGE,Delta,Hamilton,4.6,46.00%,3.2,16.3,64.37%,55.18%
598/738,n/a,NO CHANGE,Chelmsford Valley,Chelmsford,4.6,46.00%,n/a,16.3,64.37%,55.18%
598/738,n/a,NO CHANGE,Great Lakes,Sarnia,4.6,46.00%,n/a,16.3,64.37%,55.18%
84/738,n/a,NO CHANGE,North Park,Brampton,7.8,78.00%,n/a,19.6,45.40%,61.70%
607/738,440/625,NO CHANGE,Holy Cross,Strathroy,4.5,45.00%,5.3,16.3,64.37%,54.68%
607/738,467/625,NO CHANGE,Elmvale,Elmvale,4.5,45.00%,5.1,16.3,64.37%,54.68%
607/738,467/625,NO CHANGE,Napanee,Napanee,4.5,45.00%,5.1,16.3,64.37%,54.68%
607/738,478/625,NO CHANGE,Thorold,Thorold,4.5,45.00%,5,16.3,64.37%,54.68%
607/738,507/625,NO CHANGE,John Paul II,London,4.5,45.00%,4.7,16.3,64.37%,54.68%
607/738,507/625,DOWNTREND,Sir Allan MacNab,Hamilton,4.5,45.00%,4.7,16.3,64.37%,54.68%
607/738,526/625,NO CHANGE,l'Horizon,Val Caron,4.5,45.00%,4.5,16.3,64.37%,54.68%
607/738,591/625,NO CHANGE,Nouveau Regard - Jeunesse Nord,Cochrane,4.5,45.00%,3.6,16.3,64.37%,54.68%
615/738,440/625,DOWNTREND,Catholic Central,Windsor,4.4,44.00%,5.3,16.3,64.37%,54.18%
615/738,440/625,DOWNTREND,Jean Vanier,Toronto,4.4,44.00%,5.3,16.3,64.37%,54.18%
615/738,440/625,NO CHANGE,Rockland,Rockland,4.4,44.00%,5.3,16.3,64.37%,54.18%
615/738,507/625,NO CHANGE,Newtonbrook,Toronto,4.4,44.00%,4.7,16.3,64.37%,54.18%
615/738,526/625,NO CHANGE,W C Eaket,Blind River,4.4,44.00%,4.5,16.3,64.37%,54.18%
615/738,545/625,NO CHANGE,Glendale,Hamilton,4.4,44.00%,4.3,16.3,64.37%,54.18%
615/738,574/625,UPTREND,Lakeshore,Toronto,4.4,44.00%,3.9,16.3,64.37%,54.18%
615/738,n/a,NO CHANGE,Confederation,Val Caron,4.4,44.00%,n/a,16.3,64.37%,54.18%
615/738,n/a,NO CHANGE,G L Roberts,Oshawa,4.4,44.00%,n/a,16.3,64.37%,54.18%
615/738,n/a,NO CHANGE,Georgian Bay District,Midland,4.4,44.00%,n/a,16.3,64.37%,54.18%
626/738,478/625,NO CHANGE,Loyalist,Kingston,4.3,43.00%,5,16.3,64.37%,53.68%
626/738,478/625,NO CHANGE,Prince Edward,Picton,4.3,43.00%,5,16.3,64.37%,53.68%
626/738,526/625,NO CHANGE,Tilbury,Tilbury,4.3,43.00%,4.5,16.3,64.37%,53.68%
626/738,551/625,NO CHANGE,Grey Highlands,Flesherton,4.3,43.00%,4.2,16.3,64.37%,53.68%
626/738,566/625,NO CHANGE,Eastdale,Welland,4.3,43.00%,4,16.3,64.37%,53.68%
626/738,n/a,NO CHANGE,Jean Augustine,Brampton,4.3,43.00%,n/a,16.3,64.37%,53.68%
626/738,n/a,NO CHANGE,Woodroffe,Ottawa,4.3,43.00%,n/a,16.3,64.37%,53.68%
634/738,478/625,NO CHANGE,Tagwi,Avonmore,4.2,42.00%,5,16.3,64.37%,53.18%
634/738,519/625,DOWNTREND,Loretto,Toronto,4.2,42.00%,4.6,16.3,64.37%,53.18%
634/738,519/625,NO CHANGE,Michipicoten,Wawa,4.2,42.00%,4.6,16.3,64.37%,53.18%
634/738,526/625,NO CHANGE,Smiths Falls,Smiths Falls,4.2,42.00%,4.5,16.3,64.37%,53.18%
634/738,540/625,NO CHANGE,Stayner,Stayner,4.2,42.00%,4.4,16.3,64.37%,53.18%
634/738,545/625,NO CHANGE,Norwood,Norwood,4.2,42.00%,4.3,16.3,64.37%,53.18%
634/738,558/625,NO CHANGE,East Elgin,Aylmer,4.2,42.00%,4.1,16.3,64.37%,53.18%
634/738,581/625,NO CHANGE,David and Mary Thomson,Toronto,4.2,42.00%,3.7,16.3,64.37%,53.18%
634/738,581/625,NO CHANGE,Geraldton,Geraldton,4.2,42.00%,3.7,16.3,64.37%,53.18%
634/738,595/625,UPTREND,Central Commerce,Toronto,4.2,42.00%,3.4,16.3,64.37%,53.18%
645/738,460/625,NO CHANGE,Russel High,Russell,4.1,41.00%,5.2,16.3,64.37%,52.68%
645/738,507/625,NO CHANGE,Twin Lakes,Orillia,4.1,41.00%,4.7,16.3,64.37%,52.68%
645/738,526/625,NO CHANGE,Pain Court,Pain Court,4.1,41.00%,4.5,16.3,64.37%,52.68%
645/738,574/625,NO CHANGE,Trenton,Trenton,4.1,41.00%,3.9,16.3,64.37%,52.68%
645/738,591/625,NO CHANGE,Kapuskasing,Kapuskasing,4.1,41.00%,3.6,16.3,64.37%,52.68%
645/738,593/625,NO CHANGE,Barton,Hamilton,4.1,41.00%,3.5,16.3,64.37%,52.68%
651/738,410/625,NO CHANGE,Theriault,Timmins,4,40.00%,5.6,16.3,64.37%,52.18%
651/738,574/625,NO CHANGE,North Hastings,Bancroft,4,40.00%,3.9,16.3,64.37%,52.18%
651/738,607/625,NO CHANGE,Montcalm,London,4,40.00%,2.6,16.3,64.37%,52.18%
654/738,496/625,NO CHANGE,Our Lady of the Lake,Keswick,3.9,39.00%,4.8,16.3,64.37%,51.68%
654/738,545/625,NO CHANGE,Archbishop Romero,Toronto,3.9,39.00%,4.3,16.3,64.37%,51.68%
654/738,581/625,NO CHANGE,Cathedral,Hamilton,3.9,39.00%,3.7,16.3,64.37%,51.68%
305/738,n/a,NO CHANGE,Turner Fenton,Brampton,6.5,65.00%,n/a,19,48.85%,56.93%
657/738,478/625,NO CHANGE,Fort Frances,Fort Frances,3.8,38.00%,5,16.3,64.37%,51.18%
657/738,526/625,NO CHANGE,C W Jefferys,Toronto,3.8,38.00%,4.5,16.3,64.37%,51.18%
657/738,566/625,NO CHANGE,Iroquois Falls,Iroquois Falls,3.8,38.00%,4,16.3,64.37%,51.18%
657/738,566/625,NO CHANGE,Ridgemont,Ottawa,3.8,38.00%,4,16.3,64.37%,51.18%
657/738,566/625,NO CHANGE,Winston Churchill,Toronto,3.8,38.00%,4,16.3,64.37%,51.18%
657/738,581/625,NO CHANGE,Roland Michener,South Porcupine,3.8,38.00%,3.7,16.3,64.37%,51.18%
663/738,566/625,NO CHANGE,O'Gorman,Timmins,3.7,37.00%,4,16.3,64.37%,50.68%
663/738,581/625,NO CHANGE,Pauline Johnson,Brantford,3.7,37.00%,3.7,16.3,64.37%,50.68%
663/738,595/625,NO CHANGE,Sutton,Sutton West,3.7,37.00%,3.4,16.3,64.37%,50.68%
666/738,400/625,NO CHANGE,Cité des Jeunes,Kapuskasing,3.6,36.00%,5.7,16.3,64.37%,50.18%
666/738,526/625,DOWNTREND,Fellowes,Pembroke,3.6,36.00%,4.5,16.3,64.37%,50.18%
666/738,551/625,DOWNTREND,Glencoe,Glencoe,3.6,36.00%,4.2,16.3,64.37%,50.18%
666/738,566/625,DOWNTREND,Regina Mundi,London,3.6,36.00%,4,16.3,64.37%,50.18%
666/738,581/625,NO CHANGE,Clarke Road,London,3.6,36.00%,3.7,16.3,64.37%,50.18%
666/738,599/625,NO CHANGE,Cedarbrae,Toronto,3.6,36.00%,3.2,16.3,64.37%,50.18%
225/738,246/625,NO CHANGE,Governor Simcoe,St Catharines,7,70.00%,6.6,19.8,44.25%,57.13%
673/738,519/625,NO CHANGE,Champlain,Chelmsford,3.5,35.00%,4.6,16.3,64.37%,49.68%
673/738,558/625,NO CHANGE,Quinte,Belleville,3.5,35.00%,4.1,16.3,64.37%,49.68%
673/738,578/625,NO CHANGE,Dunnville,Dunnville,3.5,35.00%,3.8,16.3,64.37%,49.68%
673/738,581/625,NO CHANGE,Runnymede,Toronto,3.5,35.00%,3.7,16.3,64.37%,49.68%
678/738,496/625,NO CHANGE,Blenheim,Blenheim,3.4,34.00%,4.8,16.3,64.37%,49.18%
678/738,507/625,NO CHANGE,Kirkland Lake,Kirkland Lake,3.4,34.00%,4.7,16.3,64.37%,49.18%
678/738,507/625,NO CHANGE,Monsignor John Pereyma,Oshawa,3.4,34.00%,4.7,16.3,64.37%,49.18%
678/738,558/625,NO CHANGE,Wallaceburg,Wallaceburg,3.4,34.00%,4.1,16.3,64.37%,49.18%
678/738,581/625,NO CHANGE,Waterford,Waterford,3.4,34.00%,3.7,16.3,64.37%,49.18%
678/738,581/625,NO CHANGE,West Hill,Toronto,3.4,34.00%,3.7,16.3,64.37%,49.18%
678/738,n/a,NO CHANGE,F J McElligott,Mattawa,3.4,34.00%,n/a,16.3,64.37%,49.18%
678/738,n/a,NO CHANGE,Thomas L Kennedy,Mississauga,3.4,34.00%,n/a,16.3,64.37%,49.18%
686/738,478/625,NO CHANGE,Port Colborne,Port Colborne,3.3,33.00%,5,16.3,64.37%,48.68%
686/738,496/625,DOWNTREND,Dante Alighieri,Toronto,3.3,33.00%,4.8,16.3,64.37%,48.68%
686/738,545/625,NO CHANGE,John Polanyi,Toronto,3.3,33.00%,4.3,16.3,64.37%,48.68%
689/738,558/625,DOWNTREND,St Lawrence,Cornwall,3.2,32.00%,4.1,16.3,64.37%,48.18%
689/738,578/625,NO CHANGE,Cornwall,Cornwall,3.2,32.00%,3.8,16.3,64.37%,48.18%
689/738,599/625,NO CHANGE,Northern,Sturgeon Falls,3.2,32.00%,3.2,16.3,64.37%,48.18%
689/738,604/625,NO CHANGE,Athens,Athens,3.2,32.00%,2.8,16.3,64.37%,48.18%
689/738,610/625,NO CHANGE,Almaguin Highlands,South River,3.2,32.00%,2.4,16.3,64.37%,48.18%
689/738,617/625,NO CHANGE,Westview Centennial,Toronto,3.2,32.00%,1.9,16.3,64.37%,48.18%
689/738,n/a,NO CHANGE,ÉS Northern,Sturgeon Falls,3.2,32.00%,n/a,16.3,64.37%,48.18%
689/738,n/a,NO CHANGE,North Addington,Cloyne,3.2,32.00%,n/a,16.3,64.37%,48.18%
697/738,540/625,DOWNTREND,Port Hope,Port Hope,3.1,31.00%,4.4,16.3,64.37%,47.68%
697/738,558/625,DOWNTREND,Marathon,Marathon,3.1,31.00%,4.1,16.3,64.37%,47.68%
699/738,602/625,NO CHANGE,Weston,Toronto,3,30.00%,3,16.3,64.37%,47.18%
699/738,611/625,NO CHANGE,Downsview,Toronto,3,30.00%,2.3,16.3,64.37%,47.18%
699/738,614/625,NO CHANGE,Westview Freedom Academy,Windsor,3,30.00%,2,16.3,64.37%,47.18%
699/738,n/a,NO CHANGE,Château-Jeunesse,Longlac,3,30.00%,n/a,16.3,64.37%,47.18%
699/738,n/a,NO CHANGE,Delores D. Echum,Moose Factory,3,30.00%,n/a,16.3,64.37%,47.18%
704/738,507/625,NO CHANGE,Ridgetown,Ridgetown,2.9,29.00%,4.7,16.3,64.37%,46.68%
704/738,551/625,NO CHANGE,Ernestown,Odessa,2.9,29.00%,4.2,16.3,64.37%,46.68%
706/738,n/a,NO CHANGE,Safa & Marwa,Mississauga,2.8,28.00%,n/a,16.3,64.37%,46.18%
707/738,n/a,NO CHANGE,Espanola,Espanola,2.7,27.00%,n/a,16.3,64.37%,45.68%
708/738,551/625,DOWNTREND,College Avenue,Woodstock,2.6,26.00%,4.2,16.3,64.37%,45.18%
164/738,114/625,NO CHANGE,Bishop Tonnos,Ancaster,7.3,73.00%,7.4,21.1,36.78%,54.89%
709/738,602/625,NO CHANGE,Lake Superior,Terrace Bay,2.5,25.00%,3,16.3,64.37%,44.68%
414/738,334/625,NO CHANGE,Silverthorn,Toronto,6,60.00%,6.1,20,43.10%,51.55%
710/738,605/625,NO CHANGE,Queen Elizabeth,Sioux Lookout,2.3,23.00%,2.7,16.3,64.37%,43.68%
710/738,607/625,NO CHANGE,Sir Winston Churchill,Hamilton,2.3,23.00%,2.6,16.3,64.37%,43.68%
710/738,n/a,NO CHANGE,Everest,Thornhill,2.3,23.00%,n/a,16.3,64.37%,43.68%
225/738,163/625,NO CHANGE,St David,Waterloo,7,70.00%,7.1,21.1,36.78%,53.39%
713/738,574/625,NO CHANGE,White Pines,Sault Ste. Marie,2.2,22.00%,3.9,16.3,64.37%,43.18%
225/738,184/625,NO CHANGE,Ancaster,Ancaster,7,70.00%,7,21.2,36.21%,53.10%
714/738,617/625,NO CHANGE,Sir John A Macdonald,Hamilton,2.1,21.00%,1.9,16.3,64.37%,42.68%
715/738,460/625,DOWNTREND,Georges-P-Vanier,Hamilton,2,20.00%,5.2,16.3,64.37%,42.18%
373/738,284/625,NO CHANGE,Robert Bateman,Burlington,6.2,62.00%,6.4,20.7,39.08%,50.54%
716/738,581/625,NO CHANGE,George Harvey,Toronto,1.8,18.00%,3.7,16.3,64.37%,41.18%
716/738,605/625,NO CHANGE,Nipigon Red Rock,Red Rock,1.8,18.00%,2.7,16.3,64.37%,41.18%
716/738,614/625,NO CHANGE,Emery,Toronto,1.8,18.00%,2,16.3,64.37%,41.18%
62/738,75/625,NO CHANGE,Bishop Macdonell,Guelph,8,80.00%,7.7,22.6,28.16%,54.08%
430/738,467/625,NO CHANGE,Sir Wilfrid Laurier,Toronto,5.9,59.00%,5.1,20.5,40.23%,49.61%
719/738,566/625,NO CHANGE,Rainy River,Rainy River,1.7,17.00%,4,16.3,64.37%,40.68%
225/738,229/625,NO CHANGE,Notre Dame,Brampton,7,70.00%,6.7,21.7,33.33%,51.67%
720/738,595/625,DOWNTREND,Oakwood,Toronto,1.5,15.00%,3.4,16.3,64.37%,39.68%
720/738,621/625,NO CHANGE,Sir Guy Carleton,Nepean,1.5,15.00%,1.5,16.3,64.37%,39.68%
722/738,612/625,NO CHANGE,Kipling,Toronto,1.4,14.00%,2.2,16.3,64.37%,39.18%
722/738,614/625,NO CHANGE,Arthur Voaden,St Thomas,1.4,14.00%,2,16.3,64.37%,39.18%
580/738,460/625,NO CHANGE,Lester B Pearson,Toronto,4.8,48.00%,5.2,20,43.10%,45.55%
724/738,622/625,NO CHANGE,Hanmer,Hanmer,1.1,11.00%,1.1,16.3,64.37%,37.68%
725/738,609/625,NO CHANGE,Manitouwadge,Manitouwadge,0.9,9.00%,2.5,16.3,64.37%,36.68%
248/738,163/625,NO CHANGE,Sir Winston Churchill,St Catharines,6.9,69.00%,7.1,22.5,28.74%,48.87%
726/738,595/625,NO CHANGE,Renaissance,Timmins,0.6,6.00%,3.4,16.3,64.37%,35.18%
726/738,n/a,NO CHANGE,l'Odyssée,North Bay,0.6,6.00%,n/a,16.3,64.37%,35.18%
726/738,n/a,NO CHANGE,Notre-Dame,Woodstock,0.6,6.00%,n/a,16.3,64.37%,35.18%
430/738,372/625,NO CHANGE,Galt,Cambridge,5.9,59.00%,5.9,21.7,33.33%,46.17%
62/738,90/625,NO CHANGE,Vaughan,Thornhill,8,80.00%,7.6,23.9,20.69%,50.34%
729/738,613/625,NO CHANGE,Central,Toronto,0.2,2.00%,2.1,16.3,64.37%,33.18%
730/738,624/625,NO CHANGE,Northern Lights,Moosonee,0.1,1.00%,0.6,16.3,64.37%,32.68%
731/738,617/625,NO CHANGE,Cochrane,Cochrane,0,0.00%,1.9,16.3,64.37%,32.18%
731/738,620/625,NO CHANGE,College Heights,Guelph,0,0.00%,1.8,16.3,64.37%,32.18%
731/738,623/625,NO CHANGE,Alexander Mackenzie,Sarnia,0,0.00%,0.9,16.3,64.37%,32.18%
731/738,625/625,UPTREND,Bendale,Toronto,0,0.00%,0,16.3,64.37%,32.18%
731/738,n/a,NO CHANGE,Judith Nyman,Brampton,0,0.00%,n/a,16.3,64.37%,32.18%
731/738,n/a,NO CHANGE,St. Luke Catholic,Smiths Falls,0,0.00%,n/a,16.3,64.37%,32.18%
731/738,n/a,NO CHANGE,Thomas Fiddler Memorial,Sandy Lake,0,0.00%,n/a,16.3,64.37%,32.18%
731/738,n/a,NO CHANGE,West Credit,Mississauga,0,0.00%,n/a,16.3,64.37%,32.18%
536/738,545/625,NO CHANGE,North Albion,Toronto,5.1,51.00%,4.3,21.5,34.48%,42.74%
248/738,202/625,NO CHANGE,St Peter's,Peterborough,6.9,69.00%,6.9,23.5,22.99%,45.99%
626/738,519/625,NO CHANGE,Eastwood,Kitchener,4.3,43.00%,4.6,21.9,32.18%,37.59%
148/738,114/625,NO CHANGE,St Thomas Aquinas,Oakville,7.4,74.00%,7.4,25.4,12.07%,43.03%
673/738,540/625,NO CHANGE,Jarvis,Toronto,3.5,35.00%,4.4,21.7,33.33%,34.17%
666/738,558/625,NO CHANGE,George S Henry,Toronto,3.6,36.00%,4.1,22.4,29.31%,32.66%
276/738,184/625,NO CHANGE,Grimsby,Grimsby,6.7,67.00%,7,27.5,0.00%,33.50%